motor_control,world_x,world_y,world_z,world_p,world_q,world_r,x_img,y_img,x_screen,y_screen
"0:90.0,1:120.0,2:60.0,3:120.0,4:10.0,5:10.0",0.14317859349571768,0.0009471921020001474,0.17006887841486182,-0.0002944371648505765,-0.5220476583351515,-0.000590461329609412,318,353,-0.006249999999999978,-0.47083333333333344
"0:90.0,1:120.0,2:60.0,3:150.0,4:10.0,5:10.0",0.12616776879084415,0.000955898444013465,0.17576863145292787,-0.0008832855129757347,-1.04563084097885,-0.0010208548254898259,318,369,-0.006249999999999978,-0.5375000000000001
"0:90.0,1:120.0,2:90.0,3:10.0,4:10.0,5:10.0",0.13915083543128873,0.0009492535563877559,0.1898963693470516,0.0006103454416005695,0.8729807737436657,-0.0007965380534830559,318,360,-0.006249999999999978,-0.5
"0:90.0,1:120.0,2:90.0,3:30.0,4:10.0,5:10.0",0.14194832351354356,0.0009478217687778345,0.20155557358351692,0.00029664812613293244,0.52528729882658,-0.0005915669431385195,318,360,-0.006249999999999978,-0.5
"0:90.0,1:120.0,2:90.0,3:60.0,4:10.0,5:10.0",0.1383788575793319,0.0009496486638129853,0.21914297509180403,7.85938725976625e-07,0.001535599609480283,-0.0005118124294348972,318,367,-0.006249999999999978,-0.5291666666666666
"0:90.0,1:120.0,2:90.0,3:90.0,4:10.0,5:10.0",0.12649671507423438,0.0009557300853948458,0.23258433914954793,-0.0002944372767938428,-0.5220478226682315,-0.000590461385430485,318,382,-0.006249999999999978,-0.5916666666666666
"0:90.0,1:120.0,2:90.0,3:120.0,4:10.0,5:10.0",0.10948588942715155,0.0009644364278903576,0.2382840893925138,-0.0008832858479151674,-1.0456310054723539,-0.0010208551152931476,318,400,-0.006249999999999978,-0.6666666666666667
"0:90.0,1:120.0,2:120.0,3:10.0,4:10.0,5:10.0",0.09608425445372268,0.0009712955437544864,0.2534415097382337,0.0001864765676928796,0.34939754872025214,-0.0005447245656714321,318,418,-0.006249999999999978,-0.7416666666666667
"0:90.0,1:120.0,2:120.0,3:30.0,4:10.0,5:10.0",0.09267752636648718,0.0009730391476285807,0.26493747362768083,8.721492674940337e-07,0.0017040410234314852,-0.0005118125690804419,318,425,-0.006249999999999978,-0.7708333333333333
"0:90.0,1:120.0,2:120.0,3:60.0,4:10.0,5:10.0",0.08079278622928633,0.0009791218987093113,0.2783840604465762,-0.0002944371648506505,-0.5220476583351513,-0.0005904613296092594,318,443,-0.006249999999999978,-0.8458333333333334
